index,release_name,tag_name,expected_version,expected_build,expected_git_ref,published_at,created_at,prerelease,draft,html_url,tarball_url,zipball_url,local_archive_path,artifact_id,role,notes
58,7.60,7.60.0.797,7.60,7.60.0.797,7.60.0.797,2025-05-21T21:15:53Z,2025-05-20T21:16:49Z,False,False,https://github.com/signalapp/Signal-iOS/releases/tag/7.60.0.797,https://api.github.com/repos/signalapp/Signal-iOS/tarball/7.60.0.797,https://api.github.com/repos/signalapp/Signal-iOS/zipball/7.60.0.797,artifacts/local/Signal-7.60.0.797.xcarchive,signal_local_7_60_0_797_release,local_release_tag,
59,7.59.2,7.59.2.793,7.59.2,7.59.2.793,7.59.2.793,2025-05-20T22:43:00Z,2025-05-20T18:24:44Z,False,False,https://github.com/signalapp/Signal-iOS/releases/tag/7.59.2.793,https://api.github.com/repos/signalapp/Signal-iOS/tarball/7.59.2.793,https://api.github.com/repos/signalapp/Signal-iOS/zipball/7.59.2.793,artifacts/local/Signal-7.59.2.793.xcarchive,signal_local_7_59_2_793_release,local_release_tag,
60,7.59.1,7.59.1.789,7.59.1,7.59.1.789,7.59.1.789,2025-05-20T22:42:43Z,2025-05-16T19:52:55Z,False,False,https://github.com/signalapp/Signal-iOS/releases/tag/7.59.1.789,https://api.github.com/repos/signalapp/Signal-iOS/tarball/7.59.1.789,https://api.github.com/repos/signalapp/Signal-iOS/zipball/7.59.1.789,artifacts/local/Signal-7.59.1.789.xcarchive,signal_local_7_59_1_789_release,local_release_tag,
61,7.59,7.59.0.780,7.59,7.59.0.780,7.59.0.780,2025-05-14T23:29:50Z,2025-05-13T17:16:09Z,False,False,https://github.com/signalapp/Signal-iOS/releases/tag/7.59.0.780,https://api.github.com/repos/signalapp/Signal-iOS/tarball/7.59.0.780,https://api.github.com/repos/signalapp/Signal-iOS/zipball/7.59.0.780,artifacts/local/Signal-7.59.0.780.xcarchive,signal_local_7_59_0_780_release,local_release_tag,
62,7.58,7.58.0.774,7.58,7.58.0.774,7.58.0.774,2025-05-11T23:23:47Z,2025-05-09T19:34:25Z,False,False,https://github.com/signalapp/Signal-iOS/releases/tag/7.58.0.774,https://api.github.com/repos/signalapp/Signal-iOS/tarball/7.58.0.774,https://api.github.com/repos/signalapp/Signal-iOS/zipball/7.58.0.774,artifacts/local/Signal-7.58.0.774.xcarchive,signal_local_7_58_0_774_release,local_release_tag,
63,7.57.1,7.57.1.762,7.57.1,7.57.1.762,7.57.1.762,2025-05-03T03:55:58Z,2025-05-02T19:16:51Z,False,False,https://github.com/signalapp/Signal-iOS/releases/tag/7.57.1.762,https://api.github.com/repos/signalapp/Signal-iOS/tarball/7.57.1.762,https://api.github.com/repos/signalapp/Signal-iOS/zipball/7.57.1.762,artifacts/local/Signal-7.57.1.762.xcarchive,signal_local_7_57_1_762_release,local_release_tag,
64,7.57,7.57.0.756,7.57,7.57.0.756,7.57.0.756,2025-05-01T15:42:21Z,2025-04-30T15:51:42Z,False,False,https://github.com/signalapp/Signal-iOS/releases/tag/7.57.0.756,https://api.github.com/repos/signalapp/Signal-iOS/tarball/7.57.0.756,https://api.github.com/repos/signalapp/Signal-iOS/zipball/7.57.0.756,artifacts/local/Signal-7.57.0.756.xcarchive,signal_local_7_57_0_756_release,local_release_tag,
65,7.56,7.56.0.747,7.56,7.56.0.747,7.56.0.747,2025-04-24T01:22:45Z,2025-04-23T15:09:33Z,False,False,https://github.com/signalapp/Signal-iOS/releases/tag/7.56.0.747,https://api.github.com/repos/signalapp/Signal-iOS/tarball/7.56.0.747,https://api.github.com/repos/signalapp/Signal-iOS/zipball/7.56.0.747,artifacts/local/Signal-7.56.0.747.xcarchive,signal_local_7_56_0_747_release,local_release_tag,
66,7.55,7.55.0.733,7.55,7.55.0.733,7.55.0.733,2025-04-17T19:40:27Z,2025-04-15T18:37:57Z,False,False,https://github.com/signalapp/Signal-iOS/releases/tag/7.55.0.733,https://api.github.com/repos/signalapp/Signal-iOS/tarball/7.55.0.733,https://api.github.com/repos/signalapp/Signal-iOS/zipball/7.55.0.733,artifacts/local/Signal-7.55.0.733.xcarchive,signal_local_7_55_0_733_release,local_release_tag,
67,7.54.1,7.54.1.727,7.54.1,7.54.1.727,7.54.1.727,2025-04-11T23:58:46Z,2025-04-11T21:59:18Z,False,False,https://github.com/signalapp/Signal-iOS/releases/tag/7.54.1.727,https://api.github.com/repos/signalapp/Signal-iOS/tarball/7.54.1.727,https://api.github.com/repos/signalapp/Signal-iOS/zipball/7.54.1.727,artifacts/local/Signal-7.54.1.727.xcarchive,signal_local_7_54_1_727_release,local_release_tag,
68,7.54,7.54.0.718,7.54,7.54.0.718,7.54.0.718,2025-04-10T18:01:06Z,2025-04-08T17:50:45Z,False,False,https://github.com/signalapp/Signal-iOS/releases/tag/7.54.0.718,https://api.github.com/repos/signalapp/Signal-iOS/tarball/7.54.0.718,https://api.github.com/repos/signalapp/Signal-iOS/zipball/7.54.0.718,artifacts/local/Signal-7.54.0.718.xcarchive,signal_local_7_54_0_718_release,local_release_tag,
69,7.53.1,7.53.1.715,7.53.1,7.53.1.715,7.53.1.715,2025-04-08T03:56:34Z,2025-04-07T16:31:47Z,False,False,https://github.com/signalapp/Signal-iOS/releases/tag/7.53.1.715,https://api.github.com/repos/signalapp/Signal-iOS/tarball/7.53.1.715,https://api.github.com/repos/signalapp/Signal-iOS/zipball/7.53.1.715,artifacts/local/Signal-7.53.1.715.xcarchive,signal_local_7_53_1_715_release,local_release_tag,
70,7.53,7.53.0.703,7.53,7.53.0.703,7.53.0.703,2025-04-02T17:47:58Z,2025-04-01T23:17:41Z,False,False,https://github.com/signalapp/Signal-iOS/releases/tag/7.53.0.703,https://api.github.com/repos/signalapp/Signal-iOS/tarball/7.53.0.703,https://api.github.com/repos/signalapp/Signal-iOS/zipball/7.53.0.703,artifacts/local/Signal-7.53.0.703.xcarchive,signal_local_7_53_0_703_release,local_release_tag,
